"","pid","design","gender","salary","age","distancecity","livedyears","exposure_time_filler","exposure_time_trees","react_filler","react_trees","share_filler","share_trees","comment_made_filler","comment_made_trees","trees_find_out","trees_water","mem_acc_filler","mem_acc_trees","mem_rt_filler","mem_rt_trees"
"1","14114574","integrated_blocks","Male",1,22,8,22,10733.7272727273,18899,0.545454545454545,0,0.272727272727273,0,0,0,6,5,0.727272727272727,0.5,6584.5,3108
"2","14114575","sep_blocks","Male",2,50,2,21,16001.050000017,19303.5000000119,0,0,0,0,0,0,1,1,0.5,0.5,3401.70000001788,4036.69999999404
"3","14114577","integrated_blocks","Female",1,63,5,40,8349.18181818182,17883,0.181818181818182,1,0,0,0,0,1,3,0.5,0.5,3124,3325
"4","14114580","sep_blocks","Female",3,56,5,10,15873.1428571429,5853,0.571428571428571,0,0.0714285714285714,0,0.0714285714285714,0,2,4,0.5,0.5,3124,2767.5
"5","14114581","integrated_blocks","Female",2,48,7,29,12512.3818181794,40673.2,0.272727272727273,1,0,0,0,0,2,2,1,0.5,3654.62499999626,3351.79999999926
"6","14114583","sep_blocks","Male",1,48,11,16,35804.7071428486,23381.3000000238,0.142857142857143,0,0,0,0,0,1,1,0.5,0.5,4173.19999998808,5452.85000000596
"7","14114584","integrated_blocks","Female",1,61,5,2,12779.9909090692,17598.1999999642,0.363636363636364,0,0,1,0,0,3,2,0.5,0.75,7589.79999997618,2598.13333329361
"8","14114586","sep_blocks","Female",2,35,2,33,4780.30714291674,8491.00000004768,0.0714285714285714,0,0,0,0,0,5,1,0.75,0.5,2025.76666673025,2332.90000002384
"9","14114587","sep_blocks","Male",3,41,2,11,9791.84999999968,7856.09999999963,0.142857142857143,0,0.142857142857143,0,0,0,5,2,0.5,0.25,17167.4999999995,6827.49999999963
"10","14114588","integrated_blocks","Male",2,40,1,1,17443.7363636234,29836.0999999762,0.272727272727273,1,0.363636363636364,0,0,0,3,2,1,0.75,4285.07499998509,2465.33333333337
"11","14114590","integrated_blocks","Female",1,22,3,22,20189.6454545456,102018.7,0.181818181818182,0,0,0,0,0,5,4,0.25,0.75,2197.60000000056,1881.00000000031
"12","14114592","sep_blocks","Female",4,36,10,19,31342.8928571565,77577.6000001907,0.714285714285714,0,0.0714285714285714,0,0.0714285714285714,0,2,2,0.75,0.5,2487.49999984106,2650.60000004769
"13","14114594","integrated_blocks","Male",2,44,8,13,20958.7000000003,24041.700000003,0.545454545454545,1,0.181818181818182,0,0,0,1,1,0.75,0.75,4827.66666666867,5608.96666666866
"14","14114596","integrated_blocks","Male",3,61,14,16,6215.90909090747,4113.29999999702,0.545454545454545,0,0,0,0,0,2,1,0.75,0.25,2882.69999999727,4973.69999999925
"15","14114608","sep_blocks","Male",3,33,15,23,13801.1428571456,29237.2,0.357142857142857,1,0.0714285714285714,0,0,0,2,5,0.25,0.25,2592.20000000894,7468.60000000298
"16","14114611","integrated_blocks","Male",1,38,1,5,6193.18181818277,2910.60000000149,0,0,0,0,0,0,5,7,0.5,0.25,4051.40000000038,2140.5
"17","14114613","sep_blocks","Female",2,38,1,38,45117.5357142806,58649.9999999881,0.571428571428571,1,0.214285714285714,1,0.0714285714285714,0,5,5,0.8,1,5329.90000001192,3879.65000000298
"18","14114614","integrated_blocks","Male",1,33,5,10,26677.1454546148,57473.9000000954,0.545454545454545,1,0,0,0,0,7,7,0.75,0.5,4067.93333336513,5057.6500000119
"19","14114618","sep_blocks","Male",1,49,3,40,22558.2142857143,23050,0.214285714285714,1,0,0,0,0,1,1,0.25,0.5,1667,5692
"20","14114621","sep_blocks","Male",1,60,1,25,42975.7214285731,17545.5999999762,0.5,0,0,0,0.142857142857143,0,1,1,0.5,0.5,2434.90000003576,6453.25000001788
"21","14114623","integrated_blocks","Male",3,37,4,37,10584.9636363647,24469.4000000008,0.454545454545455,1,0,0,0,0,5,5,0.75,0.5,2957.50000000074,3227.35000000036
"22","14114627","integrated_blocks","Female",1,52,8,10,20130.8090909088,38016.8999999993,0.272727272727273,1,0.0909090909090909,0,0,0,5,6,0.75,0.5,4167.13333333301,3510.24999999953
"23","14114644","sep_blocks","Male",2,46,4,6,27220.5999999981,21596.0999999956,0,0,0,0,0,0,7,7,0.5,0.5,3908.55,6926.59999999626
"24","14114645","integrated_blocks","Male",2,63,9,16,9479.50545454545,8106.73999999999,0,0,0,0,0,0,3,3,0.75,0.5,5540.51333333333,4870.67
